GruppoDettaglio,OreSettimanali
studenti - universitari,5.0
studenti - universitari,2.0
studenti - universitari,1.0
studenti - universitari,5.0
studenti - universitari,5.0
studenti - universitari,10.0
studenti - universitari,4.0
studenti - universitari,2.0
studenti - universitari,8.0
studenti - universitari,10.0
studenti - universitari,4.0
studenti - universitari,1.0
studenti - universitari,8.0
studenti - universitari,3.0
studenti - universitari,3.0
studenti - universitari,0.0
studenti - universitari,1.0
studenti - universitari,5.0
studenti - universitari,5.0
studenti - universitari,10.0
studenti - universitari,10.0
studenti - universitari,0.0
studenti - universitari,2.0
studenti - universitari,2.0
studenti - universitari,0.0
studenti - universitari,0.0
studenti - secondaria,5.0
studenti - secondaria,2.0
studenti - secondaria,10.0
studenti - secondaria,2.0
studenti - secondaria,2.0
studenti - secondaria,3.0
studenti - secondaria,3.0
studenti - secondaria,3.0
studenti - secondaria,1.0
studenti - secondaria,0.0
studenti - secondaria,4.0
studenti - secondaria,0.0
studenti - secondaria,1.0
studenti - secondaria,3.0
studenti - secondaria,2.0
studenti - secondaria,1.0
studenti - secondaria,1.0
studenti - secondaria,3.0
studenti - secondaria,0.0
studenti - secondaria,2.0
studenti - secondaria,1.0
studenti - universitari,10.0
studenti - secondaria,0.0
studenti - secondaria,1.0
studenti - secondaria,0.0
studenti - secondaria,1.0
studenti - secondaria,1.0
studenti - secondaria,5.0
studenti - secondaria,2.0
studenti - secondaria,2.0
studenti - secondaria,3.0
studenti - secondaria,4.0
studenti - secondaria,5.0
studenti - secondaria,0.0
studenti - secondaria,4.0
studenti - secondaria,30.0
studenti - secondaria,2.0
studenti - secondaria,4.0
studenti - secondaria,0.0
studenti - secondaria,14.0
studenti - secondaria,5.0
studenti - secondaria,1.0
studenti - secondaria,1.0
studenti - secondaria,8.0
studenti - secondaria,2.0
studenti - secondaria,12.0
studenti - secondaria,1.0
studenti - secondaria,56.0
studenti - secondaria,50.0
studenti - secondaria,49.0
studenti - secondaria,1.0
studenti - secondaria,1.0
studenti - secondaria,1.0
studenti - secondaria,1.0
studenti - secondaria,3.0
studenti - secondaria,3.0
studenti - secondaria,2.0
studenti - secondaria,2.0
studenti - secondaria,2.0
studenti - secondaria,2.0
studenti - secondaria,49.0
studenti - secondaria,2.0
studenti - secondaria,0.5
studenti - secondaria,2.0
studenti - secondaria,2.0
studenti - secondaria,16.0
studenti - secondaria,1.0
studenti - universitari,5.0
studenti - secondaria,1.0
studenti - secondaria,5.0
studenti - secondaria,1.0
